"uni_lemma","item_definition"
"yum yum","¡am!"
"ouch","¡ay!"
"baa baa","bee/mee"
"quack quack","cuacuá"
"woof woof","guaguá"
"meow","miau"
"moo","muu"
"tweet tweet","pío pío"
"honk honk","pipí (coche)"
"bang bang","¡pum!"
"cockadoodledoo","quiquiriquí"
"choo choo","tutú"
"bee","abeja"
"animal","animal"
"spider","araña"
"squirrel","ardilla"
"lamb","borrego"
"owl","búho"
"donkey","burro"
"horse","caballo"
"goat","cabra"
"bunny","conejo"
"elephant","elefante"
"hen","gallina"
"cat","gato"
"turkey","guajolote"
"hippopotamus","hipopótamo"
"ant","hormiga"
"giraffe","jirafa"
"lion","león"
"wolf","lobo"
"butterfly","mariposa"
"monkey","mono"
"fly (animal)","mosca"
"bear","oso"
"bird","pájaro"
"duck","pato"
"dog","perro"
"fish (animal)","pescado"
"penguin","pingüino"
"chick","pollito"
"pig","puerco"
"frog","rana"
"mouse","ratón"
"tiger","tigre"
"turtle","tortuga"
"cow","vaca"
"deer","venado"
"airplane","avión"
"boat","barco"
"bicycle","bicicleta"
"firetruck","camión de bomberos"
"truck","camión/troca"
"stroller","carreola"
"car","carro/coche"
"motorcycle","moto"
"train","tren"
"water (beverage)","agua"
"rice","arroz"
"atole","atole"
"coffee","café"
"meat","carne"
"cereal","cereal"
"chili","chile"
"food","comida"
"candy","dulce"
"beans","frijoles"
"cookie","galleta"
"ice cream","helado/nieve"
"egg","huevo"
"ham","jamón"
"juice","jugo"
"milk","leche"
"apple","manzana"
"orange (food)","naranja"
"lollipop","paleta"
"bread","pan"
"cake","pastel"
"banana","plátano/banana"
"chicken (food)","pollo"
"quesadilla","quesadilla"
"cheese","queso"
"hot dog","salchicha"
"soda","soda/refresco"
"soup","sopa"
"tortilla","tortilla"
"grapes","uvas"
"earring","aretes"
"bib","babero"
"boots","botas"
"button","botón"
"sock","calcetines"
"underpants","calzón"
"zipper","cierre"
"necklace","collar"
"skirt","falda"
"glasses","lentes"
"diaper","pañal"
"pants","pantalón"
"pajamas","pijama"
"t-shirt","playera"
"shorts","shorts"
"hat","sombrero"
"sweater","suéter"
"dress (object)","vestido"
"shoe","zapato"
"mustache","bigote"
"mouth","boca"
"arm","brazos"
"head","cabeza"
"cheek","cachete"
"face","cara"
"breast","chichi/pecho"
"finger","dedos"
"tooth","dientes"
"tongue","lengua"
"hand","manos (body_parts)"
"nose","nariz"
"eye","ojos"
"belly button","ombligo"
"ear","orejas"
"tummy","panza"
"hair","pelo"
"leg","piernas"
"foot","pies"
"knee","rodilla"
"balloon","globo/bomba"
"toy (object)","juguete"
"pen/pencil","lápiz"
"book","libro"
"doll","muñeca"
"teddybear","osito"
"ball","pelota"
"drum (object)","tambor"
"pillow","almohada"
"vacuum","aspiradora"
"trash","basura"
"purse","bolsa"
"bottle","botella/mamila"
"box","caja"
"toothbrush","cepillo de dientes"
"brush (object)","cepillo"
"pacifier","chupón/chupete"
"cigarette","cigarros"
"blanket","cobija"
"picture","cuadro"
"spoon","cuchara"
"knife","cuchillo"
"money","dinero"
"broom","escoba"
"mirror","espejo"
"photo","fotos"
"soap","jabón"
"key","llaves"
"light (object)","luz"
"hammer","martillo"
"medicine","medicina"
"paper","papel"
"comb (object)","peine"
"plate","plato"
"radio","radio"
"watch (object)","reloj"
"cup","taza"
"telephone","teléfono"
"fork","tenedor"
"scissors","tijeras"
"towel","toalla"
"cloth","trapo"
"glass","vaso"
"candle","vela"
"potty","bacinica"
"bathroom","baño"
"drawer","cajón"
"bed","cama"
"garage","cochera/garaje"
"kitchen","cocina"
"room","cuarto"
"crib","cuna"
"stairs","escalera"
"stove","estufa"
"oven","horno"
"sink","lavabo"
"table","mesa"
"door","puerta"
"bedroom","recámara"
"refrigerator","refrigerador"
"shower","regadera/ducha"
"closet","ropero/closet"
"living room","sala"
"chair","silla"
"couch","sofá"
"tv","televisión"
"bathtub","tina"
"window","ventana"
"pool","alberca/piscina"
"tree","árbol"
"street","calle"
"field","campo"
"house","casa"
"sky","cielo"
"swing (object)","columpio"
"school","escuela"
"star","estrella"
"party","fiesta"
"flower","flor"
